company_name,phone,email,website,address,source_url,record_score
Picsel Architects & Interior Designer,,,,"4th Cross Street Srinivasa Nagar Kolathur, Chennai",https://www.justdial.com/Chennai/Interior-Designers/nct-10272436,0.82
Pappu Furnishing,,,,"Velachery Inner Ring Road Madipakkam, Chennai",https://www.justdial.com/Chennai/Interior-Designers/nct-10272436,0.82
GS Constructions & Interior Designer,,,,"MGR Nagar Thirunindravur, Chennai",https://www.justdial.com/Chennai/Interior-Designers/nct-10272436,0.82
Spazedo Interior Design Solutions,,,,"Kalamegam Salai Mogappair West, Chennai",https://www.justdial.com/Chennai/Interior-Designers/nct-10272436,0.82
Arasan Interiors,,,,"Babu Nagar Pattabiram, Chennai",https://www.justdial.com/Chennai/Interior-Designers/nct-10272436,0.82
Riha Interior,,,,"Thirumal Nagar 22nd Street Kolathur, Chennai",https://www.justdial.com/Chennai/Interior-Designers/nct-10272436,0.82
Melda Architectural Designs,,,,"Kolapakkam-Porur, Chennai",https://www.justdial.com/Chennai/Interior-Designers/nct-10272436,0.82
Blend Infra and Interiors,,,,"Beach Home Avenue 3rd Street Besant Nagar, Chennai",https://www.justdial.com/Chennai/Interior-Designers/nct-10272436,0.82
Al Hassan Traders,,,,"Perambur High Road Jamalia, Chennai",https://www.justdial.com/Chennai/Interior-Designers/nct-10272436,0.82
Something Special Designers & Decorators Pvt Ltd,,,,"Bharathyar Street Vadapalani, Chennai",https://www.justdial.com/Chennai/Interior-Designers/nct-10272436,0.82
D'LIFE Home Interiors,,,https://www.houzz.in/professionals/interior-designers-and-decorators/d-life-home-interiors-pfvwin-pf~348601729,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.94
MK Design Architects And Interior Consultants,,,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/mk-design-architects-and-interior-consultants-pfvwus-pf~815439023,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
Bizzoppo Interiors,,,https://www.houzz.in/professionals/interior-designers-and-decorators/bizzoppo-interiors-pfvwin-pf~406780843,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
Azaré Collective,,,https://www.houzz.in/professionals/interior-designers-and-decorators/azare-collective-pfvwin-pf~2118567268,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
The White Lotus Interiors,,,https://www.houzz.in/professionals/interior-designers-and-decorators/the-white-lotus-interiors-pfvwin-pf~28505403,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
Sunita Yogesh Studio,,,https://www.houzz.in/professionals/interior-designers-and-decorators/sunita-yogesh-studio-pfvwin-pf~347062609,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
The UDH,,,https://www.houzz.in/professionals/interior-designers-and-decorators/the-udh-pfvwin-pf~2118210276,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
Terra Atelier,,,https://www.houzz.in/professionals/interior-designers-and-decorators/terra-atelier-pfvwin-pf~474327457,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
Ra Prem,,,https://www.houzz.in/professionals/interior-designers-and-decorators/ra-prem-pfvwin-pf~1795487014,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
arcmen interior designer,,,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/arcmen-interior-designer-pfvwin-pf~884494805,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
Ab-Design Labs,,,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/ab-design-labs-pfvwin-pf~919302732,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
De Shell Design Lab,,,https://www.houzz.in/professionals/interior-designers-and-decorators/de-shell-design-lab-pfvwin-pf~155557635,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
Orange Interiors,,,https://www.houzz.in/professionals/interior-designers-and-decorators/orange-interiors-pfvwin-pf~566489111,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
Form and Function,,,https://www.houzz.in/hznb/professionals/interior-designers-and-decorators/form-and-function-pfvwus-pf~127625924,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
Vibrant Spaces,,,https://www.houzz.in/professionals/interior-designers-and-decorators/vibrant-spaces-pfvwin-pf~1328386700,,https://www.houzz.in/professionals/interior-designers-and-decorators/chennai-25-in-probr0-bo~t_26677~r_1264527,0.88
