company_name,phone,email,address,website,source_url,source_type,source_trust_score,record_score,type_mismatch_flags,scraped_at
Thoraipakkam Chennai,+91 91086 02000,,"Thoraipakkam Chennai 4.9 Projects Completed - 3600+ Anna Nagar Chennai 4.9 Projects Completed - 3500+ 4.9 Thoraipakkam Chennai 4th Floor, 3, Rajiv Gandhi Salai, Annai Indira Nagar,",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.88,,2026-04-06T01:29:07.423772
Anna Nagar Chennai,+91 91086 02000,,"4.9 Anna Nagar Chennai G + 1st Floor, 114/82, 3rd Ave, Kumaran Nagar, Shanthi Colony, Anna Nagar, Chennai, Tamil Nadu 600102 +91 91086 02000 Mon-Sun: 10:00 AM - 9:00 PM Specialties",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.88,,2026-04-06T01:29:07.423772
Get Free Quote,,,Get Free Quote,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Best Interior Designers in Chennai,,,"Best Interior Designers in Chennai Bringing dreams to life with end-to-end interior solutions, from design to delivery, if someone is looking for best interior designers near me in",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Interior Designers in Chennai,,,Interior Designers in Chennai,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Who Are We?,,,"Who Are We? Designing homes that breathe life, colour, and comfort, that’s what Decorpot has been known for by the people living in Chennai. With a strong legacy of transforming ho",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"10,000+ Homes Delivered A legacy of trust and craftsmanship 500+ In-Ho",,,"10,000+ Homes Delivered A legacy of trust and craftsmanship 500+ In-House Experts Designers, architects & project managers under one roof 10+ Years of Warranty Long-term assurance",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Modular Kitchen Interior Designs in Chennai,,,"Modular Kitchen Interior Designs in Chennai Custom-designed modular kitchens that combine clever storage, durable materials, and timeless appeal for everyday ease. German Hardware",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Complete Home Interiors in Chennai,,,Complete Home Interiors in Chennai Beautifully designed home interiors that reflect your style and support your lifestyle - from layout to finishing touches 3D Design Visualization,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Bedroom Interior Designs in Chennai,,,"Bedroom Interior Designs in Chennai Thoughtfully designed bedrooms that balance comfort, style, and smart use of space for true relaxation. Walk-in Wardrobes Spacious wardrobes des",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Living Room Interior Designs in Chennai,,,"Living Room Interior Designs in Chennai Elegantly designed living spaces that bring people together - perfect for relaxing, entertaining, and everything in between. Entertainment U",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
TV Unit Designs in Chennai,,,TV Unit Designs in Chennai Functionally designed TV units that keep your entertainment area organized while enhancing your interiors. Wall-mounted & Floating Units Space-saving TV,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Pooja Room Interior Designs in Chennai,,,Pooja Room Interior Designs in Chennai Gracefully designed pooja units that blend tradition with modern aesthetics for a serene home corner. CNC Jaali Partitions Intricately carved,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Dining Area Designs in Chennai,,,"Dining Area Designs in Chennai Warm, inviting dining areas designed for comfort, conversations, and memorable meals. Space-efficient Layouts Dining spaces designed to fit seamlessl",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"Anna Nagar,Chennai Type: Apartment Area: 2100 sq ft",,,"Anna Nagar,Chennai Type: Apartment Area: 2100 sq ft",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Type: Apartment,,,Type: Apartment,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Area: 2100 sq ft,,,Area: 2100 sq ft,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"Anna Nagar,Chennai Type: Apartment Area: 1900 sq ft",,,"Anna Nagar,Chennai Type: Apartment Area: 1900 sq ft",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Area: 1900 sq ft,,,Area: 1900 sq ft,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"Anna Nagar,Chennai Type: Villa Area: 2300 sq ft",,,"Anna Nagar,Chennai Type: Villa Area: 2300 sq ft",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Type: Villa,,,Type: Villa,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Area: 2300 sq ft,,,Area: 2300 sq ft,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"Thoraipakkam,Chennai Type: Apartment Area: 1700 sq ft",,,"Thoraipakkam,Chennai Type: Apartment Area: 1700 sq ft",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Area: 1700 sq ft,,,Area: 1700 sq ft,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"Thoraipakkam,Chennai Type: Apartment Area: 1200 sq ft",,,"Thoraipakkam,Chennai Type: Apartment Area: 1200 sq ft",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Area: 1200 sq ft,,,Area: 1200 sq ft,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"Thoraipakkam,Chennai Type: Apartment Area: 1600 sq ft",,,"Thoraipakkam,Chennai Type: Apartment Area: 1600 sq ft",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Area: 1600 sq ft,,,Area: 1600 sq ft,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"Thoraipakkam,Chennai Type: Apartment Area: 1900 sq ft",,,"Thoraipakkam,Chennai Type: Apartment Area: 1900 sq ft",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"Thoraipakkam,Chennai Type: Villa Area: 2300 sq ft",,,"Thoraipakkam,Chennai Type: Villa Area: 2300 sq ft",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"Anna Nagar,Chennai Type: Apartment Area: 1200 sq ft",,,"Anna Nagar,Chennai Type: Apartment Area: 1200 sq ft",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
"Anna Nagar,Chennai Type: Apartment Area: 1600 sq ft",,,"Anna Nagar,Chennai Type: Apartment Area: 1600 sq ft",,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Why Do Homeowners in Chennai Choose Decorpot for Home Interior Designing?,,,Why Do Homeowners in Chennai Choose Decorpot for Home Interior Designing? Choosing the right interior design company in Chennai can truly shape how your home feels and functions. W,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
Award Winning Recognized as Chennai's leading interior design firm for,,,Award Winning Recognized as Chennai's leading interior design firm for 3 consecutive years Expert Local Team 50+ certified interior designers with deep knowledge of Chennai's archi,,https://www.decorpot.com/interior-designers-in-chennai,official,0.92,0.82,,2026-04-06T01:29:07.423772
